"","Song","Album","Lyric"
"1","22","Red","it feels like a perfect night"
"2","22","Red","to dress up like hipsters"
"3","22","Red","and make fun of our exes  uh uh  uh uh"
"4","22","Red","it feels like a perfect night"
"5","22","Red","for breakfast at midnight"
"6","22","Red","to fall in love with strangers  uh uh  uh uh"
"7","22","Red","yeah"
"8","22","Red","we are happy  free  confused  and lonely at the same time"
"9","22","Red","it miserable and magical  oh  yeah"
"10","22","Red","tonight the night when we forget about the deadlines"
"11","22","Red","it time  oh oh"
"12","22","Red","i do not know about you  but i am feeling 22"
"13","22","Red","everything will be alright if you keep me next to you"
"14","22","Red","you do not know about me  but i will bet you want to"
"15","22","Red","everything will be alright if we just keep dancing like we are"
"16","22","Red","22  22"
"17","22","Red","it seems like one of those nights"
"18","22","Red","this place is too crowded"
"19","22","Red","too many cool kids  uh uh  uh uh"
"20","22","Red"," who taylor swift  anyway  ew "
"21","22","Red","it seems like one of those nights"
"22","22","Red","we ditch the whole scene"
"23","22","Red","and end up dreaming"
"24","22","Red","instead of sleeping"
"25","22","Red","yeah"
"26","22","Red","we are happy  free  confused  and lonely in the best way"
"27","22","Red","it miserable and magical  oh  yeah"
"28","22","Red","tonight the night when we forget about the heartbreaks"
"29","22","Red","it time  oh oh"
"30","22","Red"," hey  "
"31","22","Red","i do not know about you  but i am feeling 22"
"32","22","Red","everything will be alright  ooh  if you keep me next to you"
"33","22","Red","you do not know about me  but i will bet you want to"
"34","22","Red","everything will be alright if  alright "
"35","22","Red","we just keep dancing like we are 22  oh  oh  oh  oh  oh "
"36","22","Red","22  i do not know about you "
"37","22","Red","22  22"
"38","22","Red","it feels like one of those nights"
"39","22","Red","we ditch the whole scene"
"40","22","Red","it feels like one of those nights"
"41","22","Red","we will not be sleeping"
"42","22","Red","it feels like one of those nights"
"43","22","Red","you look like bad news"
"44","22","Red","i gotta have you"
"45","22","Red","i gotta have you"
"46","22","Red","ooh  ooh  yeah"
"47","22","Red"," hey  "
"48","22","Red","i do not know about you  but i am feeling 22"
"49","22","Red","everything will be alright if  ooh  you keep me next to you"
"50","22","Red","you do not know about me  but i will bet you want to"
"51","22","Red","everything will be alright if we just keep dancing like we are"
"52","22","Red","22  whoa  oh "
"53","22","Red","22  dancing like "
"54","22","Red","22  yeah  yeah   22   yeah  yeah  yeah "
"55","22","Red","it feels like one of those nights"
"56","22","Red","i gotta have you"
"57","All Too Well","Red","i walked through the door with you"
"58","All Too Well","Red","the air was cold"
"59","All Too Well","Red","but something  bout it felt like home somehow  and i"
"60","All Too Well","Red","left my scarf there at your sister house"
"61","All Too Well","Red","and you have still got it"
"62","All Too Well","Red","in your drawer  even now"
"63","All Too Well","Red","oh  your sweet disposition"
"64","All Too Well","Red","and my wide eyed gaze"
"65","All Too Well","Red","we are singing in the car getting lost upstate"
"66","All Too Well","Red","autumn leaves falling down like pieces into place"
"67","All Too Well","Red","and i can picture it after all these days"
"68","All Too Well","Red","and i know it long gone and"
"69","All Too Well","Red","that magic not here no more"
"70","All Too Well","Red","and i might be okay  but i am not fine at all"
"71","All Too Well","Red","oh  oh  oh"
"72","All Too Well","Red"," cause there we are again on that little town street"
"73","All Too Well","Red","you almost ran the red  cause you were looking over at me"
"74","All Too Well","Red","wind in my hair  i was there  i remember it all too well"
"75","All Too Well","Red","photo album on the counter"
"76","All Too Well","Red","your cheeks were turning red"
"77","All Too Well","Red","you used to be a little kid with glasses in a twin sized bed"
"78","All Too Well","Red","and your mother telling stories  bout you on the tee ball team"
"79","All Too Well","Red","you tell me  bout your past  thinking your future was me"
"80","All Too Well","Red","and i know it long gone and"
"81","All Too Well","Red","there was nothing else i could do"
"82","All Too Well","Red","and i forget about you long enough"
"83","All Too Well","Red","to forget why i needed to"
"84","All Too Well","Red"," cause there we are again in the middle of the night"
"85","All Too Well","Red","we are dancing round the kitchen in the refrigerator light"
"86","All Too Well","Red","down the stairs  i was there  i remember it all too well  yeah"
"87","All Too Well","Red","maybe we got lost in translation"
"88","All Too Well","Red","maybe i asked for too much"
"89","All Too Well","Red","but maybe this thing was a masterpiece"
"90","All Too Well","Red"," til you tore it all up"
"91","All Too Well","Red","running scared  i was there  i remember it all too well"
"92","All Too Well","Red","and you call me up again just to break me like a promise"
"93","All Too Well","Red","so casually cruel in the name of being honest"
"94","All Too Well","Red","i am a crumpled up piece of paper lying here"
"95","All Too Well","Red"," cause i remember it all  all  all"
"96","All Too Well","Red","too well"
"97","All Too Well","Red","time will not fly  it like i am paralyzed by it"
"98","All Too Well","Red","i would like to be my old self again"
"99","All Too Well","Red","but i am still trying to find it"
"100","All Too Well","Red","after plaid shirt days and nights when you made me your own"
"101","All Too Well","Red","now you mail back my things and i walk home alone"
"102","All Too Well","Red","but you keep my old scarf"
"103","All Too Well","Red","from that very first week"
"104","All Too Well","Red"," cause it reminds you of innocence"
"105","All Too Well","Red","and it smells like me"
"106","All Too Well","Red","you can not get rid of it"
"107","All Too Well","Red"," cause you remember it all too well  yeah"
"108","All Too Well","Red"," cause there we are again when i loved you so"
"109","All Too Well","Red","back before you lost the one real thing you have ever known"
"110","All Too Well","Red","it was rare  i was there  i remember it all too well"
"111","All Too Well","Red","wind in my hair  you were there  you remember it all"
"112","All Too Well","Red","down the stairs  you were there  you remember it all"
"113","All Too Well","Red","it was rare  i was there  i remember it all too well"
"114","Begin Again","Red","took a deep breath in the mirror"
"115","Begin Again","Red","he did not like it when i wore high heels  but i do"
"116","Begin Again","Red","turn the lock and put my headphones on"
"117","Begin Again","Red","he always said he did not get this song but i do  i do"
"118","Begin Again","Red","walked in  expecting you would be late"
"119","Begin Again","Red","but you got here early and you stand and wave"
"120","Begin Again","Red","i walk to you"
"121","Begin Again","Red","you pull my chair out and help me in"
"122","Begin Again","Red","and you do not know how nice that is  but i do"
"123","Begin Again","Red","and you throw your head back laughing like a little kid"
"124","Begin Again","Red","i think it strange that you think i am funny  cause he never did"
"125","Begin Again","Red","i have been spending the last eight months"
"126","Begin Again","Red","thinking all love ever does is break and burn and end"
"127","Begin Again","Red","but on a wednesday in a caf   i watched it begin again"
"128","Begin Again","Red","you said you never met one girl who"
"129","Begin Again","Red","had as many james taylor records as you  but i do"
"130","Begin Again","Red","we tell stories and you do not know why"
"131","Begin Again","Red","i am coming off a little shy  but i do"
"132","Begin Again","Red","but you throw your head back laughing like a little kid"
"133","Begin Again","Red","i think it strange that you think i am funny  cause he never did"
"134","Begin Again","Red","and we walked down the block to my car"
"135","Begin Again","Red","and i almost brought him up"
"136","Begin Again","Red","but you start to talk about the movies"
"137","Begin Again","Red","that your family watches every single christmas"
"138","Begin Again","Red","and i want to talk about that"
"139","Begin Again","Red","and for the first time  what past is past"
"140","Begin Again","Red"," cause you throw your head back laughing like a little kid"
"141","Begin Again","Red","i think it strange that you think i am funny  cause he never did"
"142","Begin Again","Red","but on a wednesday in a caf   i watched it begin again"
"143","Come Back... Be Here","Red","you said it in a simple way"
"144","Come Back... Be Here","Red","4 am  the second day"
"145","Come Back... Be Here","Red","how strange that i do not know you at all"
"146","Come Back... Be Here","Red","stumbled through the long goodbye"
"147","Come Back... Be Here","Red","one last kiss  then catch your flight"
"148","Come Back... Be Here","Red","right when i was just about to fall"
"149","Come Back... Be Here","Red","i told myself  do not get attached"
"150","Come Back... Be Here","Red","but in my mind  i play it back"
"151","Come Back... Be Here","Red","spinning faster than the plane that took you"
"152","Come Back... Be Here","Red","and this is when the feeling sinks in"
"153","Come Back... Be Here","Red","i do not wanna miss you like this"
"154","Come Back... Be Here","Red","come back  be here  come back  be here"
"155","Come Back... Be Here","Red","i guess you are in new york today"
"156","Come Back... Be Here","Red","i do not wanna need you this way"
"157","Come Back... Be Here","Red","come back  be here  come back  be here"
"158","Come Back... Be Here","Red","the delicate beginning rush"
"159","Come Back... Be Here","Red","the feeling you can know so much"
"160","Come Back... Be Here","Red","without knowing anything at all"
"161","Come Back... Be Here","Red","and now that i can put this down"
"162","Come Back... Be Here","Red","if i had known what i know now"
"163","Come Back... Be Here","Red","i never would have played so nonchalant"
"164","Come Back... Be Here","Red","taxi cabs and busy streets"
"165","Come Back... Be Here","Red","that never bring you back to me"
"166","Come Back... Be Here","Red","i can not help but wish you took me with you"
"167","Come Back... Be Here","Red","and this is when the feeling sinks in"
"168","Come Back... Be Here","Red","come back  be here  come back  be here"
"169","Come Back... Be Here","Red","i guess you are in london today"
"170","Come Back... Be Here","Red","and i do not wanna need you this way"
"171","Come Back... Be Here","Red","come back  be here  come back  be here"
"172","Come Back... Be Here","Red","this is falling in love in the cruelest way"
"173","Come Back... Be Here","Red","this is falling for you when you are worlds away"
"174","Come Back... Be Here","Red","in new york  be here"
"175","Come Back... Be Here","Red","but you are in london  and i break down"
"176","Come Back... Be Here","Red"," cause it not fair that you are not around"
"177","Come Back... Be Here","Red","this is when the feeling sinks in"
"178","Come Back... Be Here","Red","i do not wanna miss you like this"
"179","Come Back... Be Here","Red","i guess you are in new york today"
"180","Come Back... Be Here","Red","and i do not wanna need you this way"
"181","Come Back... Be Here","Red","oh oh  oh oh"
"182","Come Back... Be Here","Red","i do not wanna miss you like this"
"183","Come Back... Be Here","Red","oh oh  oh oh"
"184","Come Back... Be Here","Red","come back  be here"
"185","Come Back... Be Here","Red","come back  be here"
"186","Everything Has Changed","Red"," you good to go  "
"187","Everything Has Changed","Red","all i knew this morning when i woke"
"188","Everything Has Changed","Red","is i know something now"
"189","Everything Has Changed","Red","know something now i did not before"
"190","Everything Has Changed","Red","and all i have seen since 18 hours ago"
"191","Everything Has Changed","Red","is green eyes and freckles and your smile"
"192","Everything Has Changed","Red","in the back of my mind  making me feel like"
"193","Everything Has Changed","Red","i just wanna know you better"
"194","Everything Has Changed","Red","know you better  know you better now"
"195","Everything Has Changed","Red","i just wanna know you better"
"196","Everything Has Changed","Red","know you better  know you better now"
"197","Everything Has Changed","Red","i just wanna know you  know you  know you"
"198","Everything Has Changed","Red"," cause all i know is we said   hello "
"199","Everything Has Changed","Red","and your eyes look like coming home"
"200","Everything Has Changed","Red","all i know is a simple name"
"201","Everything Has Changed","Red","everything has changed"
"202","Everything Has Changed","Red","all i know is you held the door"
"203","Everything Has Changed","Red","you will be mine and i will be yours"
"204","Everything Has Changed","Red","all i know since yesterday"
"205","Everything Has Changed","Red","is everything has changed"
"206","Everything Has Changed","Red","and all my walls stood tall  painted blue"
"207","Everything Has Changed","Red","and i will take  em down  take  em down"
"208","Everything Has Changed","Red","and open up the door for you"
"209","Everything Has Changed","Red","and all i feel in my stomach is butterflies"
"210","Everything Has Changed","Red","the beautiful kind  making up for lost time"
"211","Everything Has Changed","Red","taking flight  making me feel right"
"212","Everything Has Changed","Red","i just wanna know you better"
"213","Everything Has Changed","Red","come back and tell me why"
"214","Everything Has Changed","Red","i am feeling like i have missed you all this time"
"215","Everything Has Changed","Red","and meet me there tonight"
"216","Everything Has Changed","Red","and let me know that it not all in my mind"
"217","Everything Has Changed","Red","i just wanna know you better"
"218","Everything Has Changed","Red","all i know is we said   hello "
"219","Everything Has Changed","Red","so dust off your highest hopes"
"220","Everything Has Changed","Red","all i know is pouring rain"
"221","Everything Has Changed","Red","and everything has changed"
"222","Everything Has Changed","Red","all i know is a new found grace"
"223","Everything Has Changed","Red","all my days  i will know your face"
"224","Everything Has Changed","Red","all i know since yesterday"
"225","Everything Has Changed","Red","is everything has changed"
"226","Girl at Home","Red","do not look at me  you got a girl at home"
"227","Girl at Home","Red","and everybody knows that  everybody knows that  ah ah"
"228","Girl at Home","Red","do not look at me  you got a girl at home"
"229","Girl at Home","Red","and everybody knows that"
"230","Girl at Home","Red","i do not even know her"
"231","Girl at Home","Red","but i feel a responsibility to do what upstanding and right"
"232","Girl at Home","Red","it kinda like a code  yeah"
"233","Girl at Home","Red","and you have been getting closer and closer"
"234","Girl at Home","Red","and crossing so many lines"
"235","Girl at Home","Red","and it would be a fine proposition"
"236","Girl at Home","Red","if i was a stupid girl"
"237","Girl at Home","Red","but  honey  i am no one exception"
"238","Girl at Home","Red","this  i have previously learned"
"239","Girl at Home","Red","so do not look at me  you got a girl at home"
"240","Girl at Home","Red","and everybody knows that  everybody knows that  ah ah"
"241","Girl at Home","Red","do not look at me  you got a girl at home"
"242","Girl at Home","Red","and everybody knows that  everybody knows that"
"243","Girl at Home","Red","i see you turn off your phone"
"244","Girl at Home","Red","and now you have got me alone  and i say"
"245","Girl at Home","Red","do not look at me  you got a girl at home"
"246","Girl at Home","Red","and everybody knows that  everybody knows that"
"247","Girl at Home","Red","i just want to make sure"
"248","Girl at Home","Red","you understand perfectly"
"249","Girl at Home","Red","you are the kind of man who makes me sad"
"250","Girl at Home","Red","while she waits up  you chase down the newest thing"
"251","Girl at Home","Red","and take for granted what you have"
"252","Girl at Home","Red","and it would be a fine proposition"
"253","Girl at Home","Red","if i was a stupid girl"
"254","Girl at Home","Red","and  yeah  i might go with it"
"255","Girl at Home","Red","if i had not once been just like her"
"256","Girl at Home","Red","so do not look at me  you got a girl at home"
"257","Girl at Home","Red","and everybody knows that  everybody knows that"
"258","Girl at Home","Red","oh oh oh  oh oh oh"
"259","Girl at Home","Red","oh oh oh  oh oh oh"
"260","Girl at Home","Red","call a cab  lose my number"
"261","Girl at Home","Red","you are about to lose your girl"
"262","Girl at Home","Red","call a cab  lose my number"
"263","Girl at Home","Red","let consider this lesson learned"
"264","Girl at Home","Red","do not look at me  you got a girl at home"
"265","Girl at Home","Red","and everybody knows that  everybody knows that"
"266","Girl at Home","Red","want to see you pick up your phone"
"267","Girl at Home","Red","and tell her you are coming home"
"268","Girl at Home","Red","do not look at me  you got a girl at home"
"269","Girl at Home","Red","do not look at me  you got a girl at home"
"270","Girl at Home","Red","and everybody knows that  everybody knows that"
"271","Girl at Home","Red","it would be a fine proposition"
"272","Girl at Home","Red","if i had not once been just like her"
"273","Holy Ground","Red","i was reminiscing just the other day"
"274","Holy Ground","Red","while having coffee all alone  and lord  it took me away"
"275","Holy Ground","Red","back to a first glance feeling on new york time"
"276","Holy Ground","Red","back when you fit in my poems like a perfect rhyme"
"277","Holy Ground","Red","took off faster than a green light  go"
"278","Holy Ground","Red","hey  you skip the conversation when you already know"
"279","Holy Ground","Red","i left a note on the door with a joke we would made"
"280","Holy Ground","Red","and that was the first day"
"281","Holy Ground","Red","and darling  it was good"
"282","Holy Ground","Red","never looking down"
"283","Holy Ground","Red","and right there where we stood"
"284","Holy Ground","Red","was holy ground"
"285","Holy Ground","Red","spinning like a girl in a brand new dress"
"286","Holy Ground","Red","we had this big wide city all to ourselves"
"287","Holy Ground","Red","we blocked the noise with the sound of   i need you "
"288","Holy Ground","Red","and for the first time  i had something to lose"
"289","Holy Ground","Red","and i guess we fell apart in the usual way"
"290","Holy Ground","Red","and the story got dust on every page"
"291","Holy Ground","Red","but sometimes  i wonder how you think about it now"
"292","Holy Ground","Red","and i see your face in every crowd"
"293","Holy Ground","Red"," cause darling  it was good"
"294","Holy Ground","Red","never looking down"
"295","Holy Ground","Red","tonight  i am gonna dance"
"296","Holy Ground","Red","for all that we have been through"
"297","Holy Ground","Red","but i do not wanna dance"
"298","Holy Ground","Red","if i am not dancing with you"
"299","Holy Ground","Red","tonight  i am gonna dance"
"300","Holy Ground","Red","like you were in this room"
"301","Holy Ground","Red","but i do not wanna dance"
"302","Holy Ground","Red","if i am not dancing with you"
"303","Holy Ground","Red","it was good"
"304","Holy Ground","Red","never looking down"
"305","Holy Ground","Red","if i am not dancing with you"
"306","I Almost Do","Red","i bet this time of night  you are still up"
"307","I Almost Do","Red","i bet you are tired from a long hard week"
"308","I Almost Do","Red","i bet you are sitting in your chair by the window"
"309","I Almost Do","Red","looking out at the city"
"310","I Almost Do","Red","and i bet sometimes you wonder about me"
"311","I Almost Do","Red","and i just want to tell you"
"312","I Almost Do","Red","it takes everything in me not to call you"
"313","I Almost Do","Red","and i wish i could run to you"
"314","I Almost Do","Red","and i hope you know that"
"315","I Almost Do","Red","every time i do not"
"316","I Almost Do","Red","i almost do  i almost do"
"317","I Almost Do","Red","i bet you think i either moved on or hate you"
"318","I Almost Do","Red"," cause each time you reach out  there no reply"
"319","I Almost Do","Red","i bet it never  ever occurred to you"
"320","I Almost Do","Red","that i can not say hello to you"
"321","I Almost Do","Red","and risk another goodbye"
"322","I Almost Do","Red","and i just want to tell you"
"323","I Almost Do","Red","oh  we made quite a mess  babe"
"324","I Almost Do","Red","it probably better off this way"
"325","I Almost Do","Red","and i confess  babe"
"326","I Almost Do","Red","in my dreams  you are touching my face"
"327","I Almost Do","Red","and asking me if i want to try again with you"
"328","I Almost Do","Red","and i almost do"
"329","I Almost Do","Red","and i just want to tell you"
"330","I Almost Do","Red","i bet this time of night  you are still up"
"331","I Almost Do","Red","looking out at the city"
"332","I Almost Do","Red","and i hope sometimes you wonder about me"
"333","I Knew You Were Trouble.","Red","once upon a time  a few mistakes ago"
"334","I Knew You Were Trouble.","Red","i was in your sights  you got me alone"
"335","I Knew You Were Trouble.","Red","you found me  you found me  you found me"
"336","I Knew You Were Trouble.","Red","i guess you did not care  and i guess i liked that"
"337","I Knew You Were Trouble.","Red","and when i fell hard  you took a step back"
"338","I Knew You Were Trouble.","Red","without me  without me  without me"
"339","I Knew You Were Trouble.","Red","and he long gone  when he next to me"
"340","I Knew You Were Trouble.","Red","and i realize the blame is on me"
"341","I Knew You Were Trouble.","Red"," cause i knew you were trouble when you walked in"
"342","I Knew You Were Trouble.","Red","so  shame on me now"
"343","I Knew You Were Trouble.","Red","flew me to places i would never been"
"344","I Knew You Were Trouble.","Red"," til you put me down  oh"
"345","I Knew You Were Trouble.","Red","i knew you were trouble when you walked in"
"346","I Knew You Were Trouble.","Red","so  shame on me now"
"347","I Knew You Were Trouble.","Red","flew me to places i would never been"
"348","I Knew You Were Trouble.","Red","now i am lying on the cold hard ground"
"349","I Knew You Were Trouble.","Red","oh  oh oh"
"350","I Knew You Were Trouble.","Red","trouble  trouble  trouble"
"351","I Knew You Were Trouble.","Red","oh  oh oh"
"352","I Knew You Were Trouble.","Red","trouble  trouble  trouble"
"353","I Knew You Were Trouble.","Red","no apologies  he will never see you cry"
"354","I Knew You Were Trouble.","Red","pretend he does not know"
"355","I Knew You Were Trouble.","Red","that he the reason why"
"356","I Knew You Were Trouble.","Red","you are drowning  you are drowning"
"357","I Knew You Were Trouble.","Red","you are drowning"
"358","I Knew You Were Trouble.","Red","and i heard you moved on"
"359","I Knew You Were Trouble.","Red","from whispers on the street"
"360","I Knew You Were Trouble.","Red","a new notch in your belt is all i will ever be"
"361","I Knew You Were Trouble.","Red","and now i see  now i see"
"362","I Knew You Were Trouble.","Red","now i see"
"363","I Knew You Were Trouble.","Red","he was long gone when he met me"
"364","I Knew You Were Trouble.","Red","and i realize the joke is on me  hey "
"365","I Knew You Were Trouble.","Red","i knew you were trouble when you walked in  oh "
"366","I Knew You Were Trouble.","Red","so  shame on me now"
"367","I Knew You Were Trouble.","Red","so  shame on me now"
"368","I Knew You Were Trouble.","Red","flew me to places i would never been  yeah "
"369","I Knew You Were Trouble.","Red","now i am lying on the cold hard ground"
"370","I Knew You Were Trouble.","Red","oh  oh oh  yeah "
"371","I Knew You Were Trouble.","Red","trouble  trouble  trouble"
"372","I Knew You Were Trouble.","Red","and the saddest fear"
"373","I Knew You Were Trouble.","Red","comes creeping in"
"374","I Knew You Were Trouble.","Red","that you never loved me"
"375","I Knew You Were Trouble.","Red","or her  or anyone  or anything  yeah "
"376","I Knew You Were Trouble.","Red","i knew you were trouble when you walked in"
"377","I Knew You Were Trouble.","Red","so  shame on me now"
"378","I Knew You Were Trouble.","Red","flew me to places i would never been  never been "
"379","I Knew You Were Trouble.","Red"," til you put me down  oh"
"380","I Knew You Were Trouble.","Red","i knew you were trouble when you walked in"
"381","I Knew You Were Trouble.","Red"," knew it right there "
"382","I Knew You Were Trouble.","Red","so  shame on me now  knew it right there "
"383","I Knew You Were Trouble.","Red","flew me to places i would never been  ooh "
"384","I Knew You Were Trouble.","Red","now i am lying on the cold hard ground"
"385","I Knew You Were Trouble.","Red","oh  oh oh"
"386","I Knew You Were Trouble.","Red","trouble  trouble  trouble  oh "
"387","I Knew You Were Trouble.","Red","oh  oh oh"
"388","I Knew You Were Trouble.","Red","i knew you were trouble when you walked in"
"389","I Knew You Were Trouble.","Red","trouble  trouble  trouble"
"390","I Knew You Were Trouble.","Red","trouble  trouble  trouble"
"391","Red","Red","loving him is like driving a new maserati"
"392","Red","Red","down a dead end street"
"393","Red","Red","faster than the wind  passionate as sin"
"394","Red","Red","ending so suddenly"
"395","Red","Red","loving him is like trying to change your mind"
"396","Red","Red","once you are already flying through the free fall"
"397","Red","Red","like the colors in autumn  so bright"
"398","Red","Red","just before they lose it all"
"399","Red","Red","losing him was blue like i would never known"
"400","Red","Red","missing him was dark grey  all alone"
"401","Red","Red","forgetting him was like"
"402","Red","Red","trying to know somebody you never met"
"403","Red","Red","but loving him was red"
"404","Red","Red","loving him was red"
"405","Red","Red","touching him was like realizing all you ever wanted"
"406","Red","Red","was right there in front of you"
"407","Red","Red","memorizing him was as easy as knowing"
"408","Red","Red","all the words to your old favorite song"
"409","Red","Red","fighting with him was like trying to solve a crossword"
"410","Red","Red","and realizing there no right answer"
"411","Red","Red","regretting him was like wishing you never found out"
"412","Red","Red","that love could be that strong"
"413","Red","Red","losing him was blue like i would never known"
"414","Red","Red","but loving him was red"
"415","Red","Red","oh  red"
"416","Red","Red","burning red"
"417","Red","Red","remembering him comes in flashbacks and echoes"
"418","Red","Red","tell myself it time now  gotta let go"
"419","Red","Red","but moving on from him is impossible"
"420","Red","Red","when i still see it all in my head"
"421","Red","Red","in burning red"
"422","Red","Red","loving him was red"
"423","Red","Red","oh  losing him was blue like i would never known"
"424","Red","Red","missing him was dark grey  all alone"
"425","Red","Red","trying to know somebody you never met"
"426","Red","Red"," cause loving him was red"
"427","Red","Red","yeah  yeah  red"
"428","Red","Red","we are burning red"
"429","Red","Red","and that why he spinning  round in my head"
"430","Red","Red","comes back to me  burning red"
"431","Red","Red","yeah  yeah"
"432","Red","Red","his love was like driving a new maserati"
"433","Red","Red","down a dead end street"
"474","Sad Beautiful Tragic","Red","long handwritten note  deep in your pocket"
"475","Sad Beautiful Tragic","Red","words  how little they mean  when you are a little too late"
"476","Sad Beautiful Tragic","Red","i stood right by the tracks  your face in a locket"
"477","Sad Beautiful Tragic","Red","good girls  hopeful they will be and long they will wait"
"478","Sad Beautiful Tragic","Red","we had a beautiful magic love affair"
"479","Sad Beautiful Tragic","Red","what a sad  beautiful  tragic love affair"
"480","Sad Beautiful Tragic","Red","in dreams  i meet you in warm conversation"
"481","Sad Beautiful Tragic","Red","we both wake in lonely beds  different cities"
"482","Sad Beautiful Tragic","Red","and time is taking its sweet time erasing you"
"483","Sad Beautiful Tragic","Red","and you have got your demons"
"484","Sad Beautiful Tragic","Red","and darling  they all look like me"
"485","Sad Beautiful Tragic","Red"," cause we had a beautiful magic love there"
"486","Sad Beautiful Tragic","Red","what a sad  beautiful  tragic love affair"
"487","Sad Beautiful Tragic","Red","distance  timing  breakdown  fighting"
"488","Sad Beautiful Tragic","Red","silence  the train runs off its tracks"
"489","Sad Beautiful Tragic","Red","kiss me  try to fix it  could you just try to listen "
"490","Sad Beautiful Tragic","Red","hang up  give up  and for the life of us we can not get back"
"491","Sad Beautiful Tragic","Red","a beautiful magic love there"
"492","Sad Beautiful Tragic","Red","what a sad  beautiful  tragic  beautiful  tragic  beautiful"
"493","Sad Beautiful Tragic","Red","what we had  a beautiful magic love there"
"494","Sad Beautiful Tragic","Red","what a sad  beautiful  tragic  love affair"
"495","Sad Beautiful Tragic","Red","we had a beautiful magic love there"
"496","Sad Beautiful Tragic","Red","what a sad  beautiful  tragic love affair"
"497","Starlight","Red","i said   oh  my  what a marvelous tune "
"498","Starlight","Red","it was the best night  never would forget how we moved"
"499","Starlight","Red","the whole place was dressed to the nines"
"500","Starlight","Red","and we were dancing  dancing"
"501","Starlight","Red","like we are made of starlight"
"502","Starlight","Red","like we are made of starlight"
"503","Starlight","Red","i met bobby on the boardwalk  summer of  45"
"504","Starlight","Red","picked me up  late one night at the window"
"505","Starlight","Red","we were 17 and crazy  running wild  wild"
"506","Starlight","Red","can not remember what song it was playing when we walked in"
"507","Starlight","Red","the night we snuck into a yacht club party"
"508","Starlight","Red","pretending to be a duchess and a prince"
"509","Starlight","Red","and i said   oh  my  what a marvelous tune "
"510","Starlight","Red","it was the best night  never would forget how we moved"
"511","Starlight","Red","and we were dancing  dancing"
"512","Starlight","Red","like we are made of starlight  starlight"
"513","Starlight","Red","like we are made of starlight  starlight"
"514","Starlight","Red","he said   look at you"
"515","Starlight","Red","worrying so much about things you can not change"
"516","Starlight","Red","you will spend your whole life singing the blues"
"517","Starlight","Red","if you keep thinking that way "
"518","Starlight","Red","he was trying to skip rocks on the ocean  saying to me"
"519","Starlight","Red"," do not you see the starlight  starlight "
"520","Starlight","Red","do not you dream impossible things  "
"521","Starlight","Red","like   oh  my  what a marvelous tune "
"522","Starlight","Red","it was the best night  never would forget how we moved"
"523","Starlight","Red","ooh  ooh  he talking crazy"
"524","Starlight","Red","ooh  ooh  dancing with me"
"525","Starlight","Red","ooh  ooh  we could get married"
"526","Starlight","Red","have ten kids and teach  em how to dream"
"527","Starlight","Red","oh  my  what a marvelous tune"
"528","Starlight","Red","it was the best night  never would forget how we moved"
"529","Starlight","Red","like we are made of starlight  starlight"
"530","Starlight","Red","like we dream impossible dreams"
"531","Starlight","Red","like starlight  starlight"
"532","Starlight","Red","like we dream impossible dreams"
"533","Starlight","Red","do not you see the starlight  starlight "
"534","Starlight","Red","do not you dream impossible things "
"535","State of Grace","Red","i am walking fast through the traffic lights"
"536","State of Grace","Red","busy streets and busy lives"
"537","State of Grace","Red","and all we know  is touch and go"
"538","State of Grace","Red","we are alone with our changing minds"
"539","State of Grace","Red","we fall in love  til it hurts or bleeds  or fades in time"
"540","State of Grace","Red","and i never saw you coming"
"541","State of Grace","Red","and i will never be the same"
"542","State of Grace","Red","you come around and the armor falls"
"543","State of Grace","Red","pierce the room like a cannon ball"
"544","State of Grace","Red","now all we know  is do not let go"
"545","State of Grace","Red","we are alone  just you and me"
"546","State of Grace","Red","up in your room and our slates are clean"
"547","State of Grace","Red","just twin fire signs  four blue eyes"
"548","State of Grace","Red","so you were never a saint"
"549","State of Grace","Red","and i have loved in shades of wrong"
"550","State of Grace","Red","we learn to live with the pain"
"551","State of Grace","Red","mosaic broken hearts"
"552","State of Grace","Red","but this love is brave and wild"
"553","State of Grace","Red","and i never  never  saw you coming"
"554","State of Grace","Red","and i will never  never  be the same"
"555","State of Grace","Red","this is a state of grace"
"556","State of Grace","Red","this is the worthwhile fight"
"557","State of Grace","Red","love is a ruthless game"
"558","State of Grace","Red","unless you play it good and right"
"559","State of Grace","Red","these are the hands of fate"
"560","State of Grace","Red","you are my achilles heel"
"561","State of Grace","Red","this is the golden age of something good"
"562","State of Grace","Red","and right and real"
"563","State of Grace","Red","and i never  never  saw you coming"
"564","State of Grace","Red","and i will never  never  be the same"
"565","State of Grace","Red","and i never  never  saw you coming"
"566","State of Grace","Red","and i will never"
"567","State of Grace","Red"," so you were never a saint"
"568","State of Grace","Red","and i have loved in shades of wrong "
"569","State of Grace","Red","be the same"
"570","State of Grace","Red"," we learn to live with the pain"
"571","State of Grace","Red","mosaic broken hearts"
"572","State of Grace","Red","but this love is brave and wild "
"573","State of Grace","Red","this is a state of grace"
"574","State of Grace","Red","unless you play it good and right"
"609","Stay Stay Stay","Red","i am pretty sure we almost broke up last night"
"610","Stay Stay Stay","Red","i threw my phone across the room  at you"
"611","Stay Stay Stay","Red","i was expecting some dramatic turn away"
"612","Stay Stay Stay","Red","but you stayed"
